사용월,호선명,지하철역,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,작업일자
202210,1호선,동대문,9398,6871,14707,11779,19432,21691,18853,22784,17361,23933,18652,26740,23463,27173,25261,25047,27040,23529,27997,22274,28045,21583,27411,20523,24942,21033,17122,19705,14662,13926,13377,11666,10591,10596,5076,8316,20221103
202210,1호선,동묘앞,3766,4838,6384,9133,10842,21373,9804,19403,11143,23558,16304,31009,23906,34273,31255,38327,34758,34159,37693,28911,39454,20828,35196,15249,21901,10680,9257,7396,5825,5568,4961,5657,3507,6176,1386,3913,20221103
202210,1호선,서울역,13511,55432,40840,105943,71256,205484,61307,151763,62514,84310,77285,72422,84928,83084,85858,82661,73001,74496,96526,81463,111175,83613,163238,96434,205513,97618,115319,67072,82912,48011,85422,42691,56471,30503,26783,14843,20221103
202210,1호선,시청,3908,26854,7253,62283,9735,175247,12189,94571,14635,47845,20715,50439,24213,50477,32591,48653,45236,39997,61885,35693,66922,34926,94250,33105,154910,27657,62838,13198,53970,8140,47960,7461,31231,5655,10639,3367,20221103
202210,1호선,신설동,9536,8484,20433,23061,29535,54171,19966,32246,17654,22618,20102,19267,22087,19245,23352,19830,22972,19017,25266,20120,31318,21628,38057,24892,50800,29683,20438,20516,14571,14118,12545,13795,9248,11921,3669,8583,20221103
202210,1호선,제기동,8520,9098,21931,19038,32298,37999,24146,33164,26944,40444,35347,47262,41660,50292,44171,53070,47526,48676,51642,40896,50687,33562,44932,28441,38721,27094,19514,18139,12472,11960,8640,11584,5578,10378,2242,6818,20221103
202210,1호선,종각,4237,22659,6536,91028,10505,225517,13644,143027,18618,64225,26998,63080,33812,56945,43796,56477,54865,46951,72071,40234,81018,41515,137952,46434,199207,49606,89244,24804,77276,11985,82994,8650,60677,6120,28401,4125,20221103
202210,1호선,종로3가,4065,13620,5288,24619,10205,68144,14664,67280,21017,59341,31501,69818,44492,73032,52580,68101,62386,59606,73711,48973,81711,44307,90084,42161,100386,41568,62024,21684,49365,11437,51434,8953,40353,6544,18163,4564,20221103
202210,1호선,종로5가,3029,15796,5328,39957,9058,92084,12874,62476,20615,56554,32117,61749,42650,60925,50938,57242,59102,52339,65020,44957,68179,40186,85559,35943,96755,32409,52058,17687,36168,8491,32016,6401,21285,4680,7388,2837,20221103
202210,1호선,청량리(서울시립대입구),15271,23232,35969,18706,46390,36162,31180,35799,30495,38504,35576,42083,40807,42462,43347,46475,44436,47179,49603,46084,58421,42109,53071,42581,42612,47635,23114,31406,17789,19383,13787,18317,8706,16070,3302,9629,20221103
